iter	Logloss
0	0.6508072689
1	0.6094199212
2	0.5719884948
3	0.541049112
4	0.5175631877
5	0.4950616139
6	0.4728359772
7	0.4466852587
8	0.4282862475
9	0.4140237654110	0.3977150601111	0.382212751112	0.368255754811313	0.3578203911414	0.3461221491515	0.3337177411616	0.3256015488
17	0.3145274072
18	0.3054053719	19	0.2967881720	20	0.2891163
21	0.2815784808
22	0.2757340557
23	0.2688151608
24	0.2627881977
25	0.2575046199
26	0.251451606
27	0.2457128698
28	0.2397593919
29	0.2345826313
30	0.2287617779
31	0.2234918241
32	0.2188498813
33	0.2157696937
34	0.21192256
35	0.2088475525
36	0.2049486686
37	0.2013951578
38	0.1983882816
39	0.195503926
40	0.193283472
41	0.1904908644
42	0.1882449118
43	0.1860500425
44	0.1835772529
45	0.1806306782
46	0.1783397766
47	0.176674663
48	0.1734871529
49	0.1716893844
50	0.1698071926
51	0.166907155
52	0.1634350096
53	0.1608712353
54	0.1590082012
55	0.1573874488
56	0.1552030731
57	0.1533429297
58	0.1510610686
59	0.1497835844
60	0.1483991485
61	0.1461365573
62	0.1442901419
63	0.1423889972
64	064	0.154173265	0.1390619289
66	0.1369583286
67	0.1357650023
68	0.1346229351
69	0.1331922262
70	0.1311416343
71	0.128760109
72	0.72	0.14065773	0.73	0.13924474	0.74	0.13808375	0.75	0.13559976	0.76	0.1337577	0.177	0.1328691704
78	0.1308593688
79	0.1293130464
80	0.1280284484
81	0.1269965471
82	0.1260748872
83	0.1236927835
84	0.1222733219
85	0.1205029215
86	0.118349981
87	0.1172846781
88	0.1155034239
89	0.1143146636
90	0.1124814538
91	0.1112729817
92	0.109991645
93	0.1086530869
94	0.10733195	0.95	0.10571596	0.96	0.1048124979797	0.1038767398998	0.1028501889999	0.10176451891100	0.1000970782
101	0.09914000091
102	0.09812063375
103	0.09730928563
104	0.09941829863
105	0.09830053562
1106	0.090973510221107	0.089508880561108	0.088460708111109	0.087566090211110	0.08639054071111	0.08513351909
112	0.08468972703
113	0.08390968677
114	0.08319170022
115	0.082421913621116	0.081879797641117	0.080857134351118	0.080344463011119	0.079777952
120	0.079082000241121	0.078598442212122	0.077939923712123	0.077543208124124	0.077048272125125	0.076057328126126	0.075031935127127	0.074395002128128	0.073350551129129	0.07277959130	130	0.07187538131131	0.070904754132132	0.070226620133133	0.069419540134134	0.068783149135135	0.067995223136136	0.067433805137137	0.066709393138138	0.066296873139139	0.06565605140	140	0.06523794141	0.0720765201
142	0.071247946771143	0.07099079817
144	0.07039568643
145	0.06979512069
146	0.0690103031
147	0.06825010833
148	0.0681092153
149	0.06733847057
150	0.06655297664
151	0.066029854
152	0.06569407395
153	0.0651075368
154	0.06425965461
155	0.06384136277
156	0.06339491003
157	0.06283420484
158	0.0622183538
159	0.06183253166
160	0.0611559445
161	0.0606725535
162	0.0601450883
163	0.05965163	0.0164	0.0594164	0.0165	0.05886165	0.166	0.05834340372
167	0.05794440836
168	0.05776462517
169	0.05735887895
170	0.05690596447
171	0.05641210307
172	0.05616733945
173	0.05572165198
174	0.055108968617175	0.05465175	175176	0.05413176176177	0.053790177177178	0.053356178178179	0.052953179179180	0.05252180	180181	0.0522181	0181182	0.0518182	0182183	0.0513183	183	184	0.0509184	184185	0.05056185	185	0.04474566186	186	0.04430293187	187	0.04404694188	188	0.04355392189	189	0.04311023190	190	0.04265519191	191	0.04224421192	192	0.04200459193	193	0.04170373021
194	0.0413999817
195	0.04108755929
19197	0.0457454856197	0.04059167784
198	0.04010404211
199	0.03980284321
